date,youtube
2016-07-22,97.0
2016-07-23,97.0
2016-07-24,97.0
2016-07-25,97.28571428571429
2016-07-26,97.57142857142857
2016-07-27,97.85714285714286
2016-07-28,98.14285714285714
2016-07-29,98.42857142857143
2016-07-30,98.71428571428571
2016-07-31,99.0
2016-08-01,98.57142857142857
2016-08-02,98.14285714285714
2016-08-03,97.71428571428571
2016-08-04,97.28571428571429
2016-08-05,96.85714285714286
2016-08-06,96.42857142857143
2016-08-07,96.0
2016-08-08,96.14285714285714
2016-08-09,96.28571428571429
2016-08-10,96.42857142857143
2016-08-11,96.57142857142857
2016-08-12,96.71428571428571
2016-08-13,96.85714285714286
2016-08-14,97.0
2016-08-15,97.0
2016-08-16,97.0
2016-08-17,97.0
2016-08-18,97.0
2016-08-19,97.0
2016-08-20,97.0
