date,IaaS
2016-07-09,61.285714285714285
2016-07-10,61.0
2016-07-11,61.285714285714285
2016-07-12,61.57142857142857
2016-07-13,61.857142857142854
2016-07-14,62.142857142857146
2016-07-15,62.42857142857143
2016-07-16,62.714285714285715
2016-07-17,63.0
2016-07-18,62.0
2016-07-19,61.0
2016-07-20,60.0
2016-07-21,59.0
2016-07-22,58.0
2016-07-23,57.0
2016-07-24,56.0
2016-07-25,56.42857142857143
2016-07-26,56.857142857142854
2016-07-27,57.285714285714285
2016-07-28,57.714285714285715
2016-07-29,58.142857142857146
2016-07-30,58.57142857142857
2016-07-31,59.0
2016-08-01,57.857142857142854
2016-08-02,56.714285714285715
2016-08-03,55.57142857142857
2016-08-04,54.42857142857143
2016-08-05,53.285714285714285
2016-08-06,52.142857142857146
2016-08-07,51.0
2016-08-08,52.57142857142857
2016-08-09,54.142857142857146
2016-08-10,55.714285714285715
2016-08-11,57.285714285714285
2016-08-12,58.857142857142854
2016-08-13,60.42857142857143
2016-08-14,62.0
2016-08-15,62.714285714285715
2016-08-16,63.42857142857143
2016-08-17,64.14285714285714
2016-08-18,64.85714285714286
2016-08-19,65.57142857142857
2016-08-20,66.28571428571429
2016-08-21,67.0
2016-08-22,66.57142857142857
2016-08-23,66.14285714285714
2016-08-24,65.71428571428571
2016-08-25,65.28571428571429
2016-08-26,64.85714285714286
2016-08-27,64.42857142857143
2016-08-28,64.0
2016-08-29,65.0
2016-08-30,66.0
2016-08-31,67.0
2016-09-01,68.0
2016-09-02,69.0
2016-09-03,70.0
2016-09-04,71.0
2016-09-05,71.0
2016-09-06,71.0
2016-09-07,71.0
2016-09-08,71.0
2016-09-09,71.0
2016-09-10,71.0
2016-09-11,71.0
2016-09-12,72.14285714285714
2016-09-13,73.28571428571429
2016-09-14,74.42857142857143
2016-09-15,75.57142857142857
2016-09-16,76.71428571428571
2016-09-17,77.85714285714286
2016-09-18,79.0
2016-09-19,77.71428571428571
2016-09-20,76.42857142857143
2016-09-21,75.14285714285714
2016-09-22,73.85714285714286
2016-09-23,72.57142857142857
2016-09-24,71.28571428571428
2016-09-25,70.0
2016-09-26,70.57142857142857
2016-09-27,71.14285714285714
2016-09-28,71.71428571428571
2016-09-29,72.28571428571429
2016-09-30,72.85714285714286
2016-10-01,73.42857142857143
2016-10-02,74.0
2016-10-03,74.14285714285714
2016-10-04,74.28571428571429
2016-10-05,74.42857142857143
2016-10-06,74.57142857142857
2016-10-07,74.71428571428571
2016-10-08,74.85714285714286
2016-10-09,75.0
2016-10-10,75.14285714285714
2016-10-11,75.28571428571429
2016-10-12,75.42857142857143
2016-10-13,75.57142857142857
2016-10-14,75.71428571428571
2016-10-15,75.85714285714286
2016-10-16,76.0
2016-10-17,76.0
2016-10-18,76.0
2016-10-19,76.0
2016-10-20,76.0
2016-10-21,76.0
2016-10-22,76.0
2016-10-23,76.0
2016-10-24,76.0
2016-10-25,76.0
2016-10-26,76.0
2016-10-27,76.0
2016-10-28,76.0
2016-10-29,76.0
2016-10-30,76.0
2016-10-31,76.14285714285714
2016-11-01,76.28571428571429
2016-11-02,76.42857142857143
2016-11-03,76.57142857142857
2016-11-04,76.71428571428571
2016-11-05,76.85714285714286
2016-11-06,77.0
2016-11-07,76.71428571428571
2016-11-08,76.42857142857143
2016-11-09,76.14285714285714
2016-11-10,75.85714285714286
2016-11-11,75.57142857142857
2016-11-12,75.28571428571429
2016-11-13,75.0
2016-11-14,73.85714285714286
2016-11-15,72.71428571428571
2016-11-16,71.57142857142857
2016-11-17,70.42857142857143
2016-11-18,69.28571428571429
2016-11-19,68.14285714285714
2016-11-20,67.0
2016-11-21,67.71428571428571
2016-11-22,68.42857142857143
2016-11-23,69.14285714285714
2016-11-24,69.85714285714286
2016-11-25,70.57142857142857
2016-11-26,71.28571428571429
2016-11-27,72.0
2016-11-28,72.85714285714286
2016-11-29,73.71428571428571
2016-11-30,74.57142857142857
2016-12-01,75.42857142857143
2016-12-02,76.28571428571429
2016-12-03,77.14285714285714
2016-12-04,78.0
2016-12-05,77.71428571428571
2016-12-06,77.42857142857143
2016-12-07,77.14285714285714
2016-12-08,76.85714285714286
2016-12-09,76.57142857142857
2016-12-10,76.28571428571429
2016-12-11,76.0
2016-12-12,74.14285714285714
2016-12-13,72.28571428571429
2016-12-14,70.42857142857143
2016-12-15,68.57142857142857
2016-12-16,66.71428571428571
2016-12-17,64.85714285714286
2016-12-18,63.0
2016-12-19,60.285714285714285
2016-12-20,57.57142857142857
2016-12-21,54.85714285714286
2016-12-22,52.14285714285714
2016-12-23,49.42857142857143
2016-12-24,46.714285714285715
2016-12-25,44.0
2016-12-26,45.857142857142854
2016-12-27,47.714285714285715
2016-12-28,49.57142857142857
2016-12-29,51.42857142857143
2016-12-30,53.285714285714285
2016-12-31,55.14285714285714
2017-01-01,57.0
2017-01-02,58.857142857142854
2017-01-03,60.714285714285715
2017-01-04,62.57142857142857
2017-01-05,64.42857142857143
2017-01-06,66.28571428571429
2017-01-07,68.14285714285714
2017-01-08,70.0
2017-01-09,70.71428571428571
2017-01-10,71.42857142857143
2017-01-11,72.14285714285714
2017-01-12,72.85714285714286
2017-01-13,73.57142857142857
2017-01-14,74.28571428571429
2017-01-15,75.0
2017-01-16,75.85714285714286
2017-01-17,76.71428571428571
2017-01-18,77.57142857142857
2017-01-19,78.42857142857143
2017-01-20,79.28571428571429
2017-01-21,80.14285714285714
2017-01-22,81.0
2017-01-23,80.42857142857143
2017-01-24,79.85714285714286
2017-01-25,79.28571428571429
2017-01-26,78.71428571428571
2017-01-27,78.14285714285714
2017-01-28,77.57142857142857
2017-01-29,77.0
2017-01-30,77.14285714285714
2017-01-31,77.28571428571429
2017-02-01,77.42857142857143
2017-02-02,77.57142857142857
2017-02-03,77.71428571428571
2017-02-04,77.85714285714286
2017-02-05,78.0
2017-02-06,78.0
2017-02-07,78.0
2017-02-08,78.0
2017-02-09,78.0
2017-02-10,78.0
2017-02-11,78.0
2017-02-12,78.0
2017-02-13,78.71428571428571
2017-02-14,79.42857142857143
2017-02-15,80.14285714285714
2017-02-16,80.85714285714286
2017-02-17,81.57142857142857
2017-02-18,82.28571428571429
2017-02-19,83.0
2017-02-20,84.14285714285714
2017-02-21,85.28571428571429
2017-02-22,86.42857142857143
2017-02-23,87.57142857142857
2017-02-24,88.71428571428571
2017-02-25,89.85714285714286
2017-02-26,91.0
2017-02-27,90.57142857142857
2017-02-28,90.14285714285714
2017-03-01,89.71428571428571
2017-03-02,89.28571428571429
2017-03-03,88.85714285714286
2017-03-04,88.42857142857143
2017-03-05,88.0
2017-03-06,87.14285714285714
2017-03-07,86.28571428571429
2017-03-08,85.42857142857143
2017-03-09,84.57142857142857
2017-03-10,83.71428571428571
2017-03-11,82.85714285714286
2017-03-12,82.0
2017-03-13,82.57142857142857
2017-03-14,83.14285714285714
2017-03-15,83.71428571428571
2017-03-16,84.28571428571429
2017-03-17,84.85714285714286
2017-03-18,85.42857142857143
2017-03-19,86.0
2017-03-20,86.0
2017-03-21,86.0
2017-03-22,86.0
2017-03-23,86.0
2017-03-24,86.0
2017-03-25,86.0
2017-03-26,86.0
2017-03-27,86.28571428571429
2017-03-28,86.57142857142857
2017-03-29,86.85714285714286
2017-03-30,87.14285714285714
2017-03-31,87.42857142857143
2017-04-01,87.71428571428571
2017-04-02,88.0
2017-04-03,87.14285714285714
2017-04-04,86.28571428571429
2017-04-05,85.42857142857143
2017-04-06,84.57142857142857
2017-04-07,83.71428571428571
2017-04-08,82.85714285714286
2017-04-09,82.0
2017-04-10,81.71428571428571
2017-04-11,81.42857142857143
2017-04-12,81.14285714285714
2017-04-13,80.85714285714286
2017-04-14,80.57142857142857
2017-04-15,80.28571428571429
2017-04-16,80.0
2017-04-17,80.71428571428571
2017-04-18,81.42857142857143
2017-04-19,82.14285714285714
2017-04-20,82.85714285714286
2017-04-21,83.57142857142857
2017-04-22,84.28571428571429
2017-04-23,85.0
2017-04-24,83.57142857142857
2017-04-25,82.14285714285714
2017-04-26,80.71428571428571
2017-04-27,79.28571428571429
2017-04-28,77.85714285714286
2017-04-29,76.42857142857143
2017-04-30,75.0
2017-05-01,76.85714285714286
2017-05-02,78.71428571428571
2017-05-03,80.57142857142857
2017-05-04,82.42857142857143
2017-05-05,84.28571428571429
2017-05-06,86.14285714285714
2017-05-07,88.0
2017-05-08,87.0
2017-05-09,86.0
2017-05-10,85.0
2017-05-11,84.0
2017-05-12,83.0
2017-05-13,82.0
2017-05-14,81.0
2017-05-15,81.42857142857143
2017-05-16,81.85714285714286
2017-05-17,82.28571428571429
2017-05-18,82.71428571428571
2017-05-19,83.14285714285714
2017-05-20,83.57142857142857
2017-05-21,84.0
2017-05-22,83.71428571428571
2017-05-23,83.42857142857143
2017-05-24,83.14285714285714
2017-05-25,82.85714285714286
2017-05-26,82.57142857142857
2017-05-27,82.28571428571429
2017-05-28,82.0
2017-05-29,82.14285714285714
2017-05-30,82.28571428571429
2017-05-31,82.42857142857143
2017-06-01,82.57142857142857
2017-06-02,82.71428571428571
2017-06-03,82.85714285714286
2017-06-04,83.0
