date,google
2016-07-19,85.57142857142857
2016-07-20,85.85714285714286
2016-07-21,86.14285714285714
2016-07-22,86.42857142857143
2016-07-23,86.71428571428571
2016-07-24,87.0
2016-07-25,86.85714285714286
2016-07-26,86.71428571428571
2016-07-27,86.57142857142857
2016-07-28,86.42857142857143
2016-07-29,86.28571428571429
2016-07-30,86.14285714285714
2016-07-31,86.0
2016-08-01,86.42857142857143
2016-08-02,86.85714285714286
2016-08-03,87.28571428571429
2016-08-04,87.71428571428571
2016-08-05,88.14285714285714
2016-08-06,88.57142857142857
2016-08-07,89.0
2016-08-08,89.0
2016-08-09,89.0
2016-08-10,89.0
2016-08-11,89.0
2016-08-12,89.0
2016-08-13,89.0
2016-08-14,89.0
2016-08-15,89.14285714285714
2016-08-16,89.28571428571429
2016-08-17,89.42857142857143
