date,pixel
2017-05-15,23.857142857142858
2017-05-16,23.714285714285715
2017-05-17,23.571428571428573
2017-05-18,23.428571428571427
2017-05-19,23.285714285714285
2017-05-20,23.142857142857142
2017-05-21,23.0
2017-05-22,23.0
2017-05-23,23.0
2017-05-24,23.0
2017-05-25,23.0
2017-05-26,23.0
2017-05-27,23.0
2017-05-28,23.0
2017-05-29,23.142857142857142
2017-05-30,23.285714285714285
2017-05-31,23.428571428571427
2017-06-01,23.571428571428573
2017-06-02,23.714285714285715
2017-06-03,23.857142857142858
2017-06-04,24.0
2017-06-05,24.142857142857142
2017-06-06,24.285714285714285
2017-06-07,24.428571428571427
2017-06-08,24.571428571428573
2017-06-09,24.714285714285715
2017-06-10,24.857142857142858
2017-06-11,25.0
2017-06-12,25.142857142857142
2017-06-13,25.285714285714285
2017-06-14,25.428571428571427
2017-06-15,25.571428571428573
2017-06-16,25.714285714285715
2017-06-17,25.857142857142858
2017-06-18,26.0
2017-06-19,26.0
2017-06-20,26.0
2017-06-21,26.0
2017-06-22,26.0
2017-06-23,26.0
2017-06-24,26.0
2017-06-25,26.0
2017-06-26,25.857142857142858
2017-06-27,25.714285714285715
2017-06-28,25.571428571428573
2017-06-29,25.428571428571427
2017-06-30,25.285714285714285
2017-07-01,25.142857142857142
2017-07-02,25.0
2017-07-03,25.0
2017-07-04,25.0
2017-07-05,25.0
2017-07-06,25.0
2017-07-07,25.0
2017-07-08,25.0
2017-07-09,25.0
2017-07-10,24.857142857142858
2017-07-11,24.714285714285715
2017-07-12,24.571428571428573
2017-07-13,24.428571428571427
2017-07-14,24.285714285714285
2017-07-15,24.142857142857142
2017-07-16,24.0
2017-07-17,24.142857142857142
2017-07-18,24.285714285714285
2017-07-19,24.428571428571427
2017-07-20,24.571428571428573
2017-07-21,24.714285714285715
2017-07-22,24.857142857142858
2017-07-23,25.0
2017-07-24,25.142857142857142
2017-07-25,25.285714285714285
2017-07-26,25.428571428571427
2017-07-27,25.571428571428573
2017-07-28,25.714285714285715
2017-07-29,25.857142857142858
2017-07-30,26.0
2017-07-31,25.857142857142858
2017-08-01,25.714285714285715
2017-08-02,25.571428571428573
2017-08-03,25.428571428571427
2017-08-04,25.285714285714285
2017-08-05,25.142857142857142
2017-08-06,25.0
2017-08-07,24.857142857142858
2017-08-08,24.714285714285715
2017-08-09,24.571428571428573
2017-08-10,24.428571428571427
2017-08-11,24.285714285714285
2017-08-12,24.142857142857142
2017-08-13,24.0
2017-08-14,24.428571428571427
