date,android vr
2016-07-19,28.142857142857142
2016-07-20,27.714285714285715
2016-07-21,27.285714285714285
2016-07-22,26.857142857142858
2016-07-23,26.42857142857143
2016-07-24,26.0
2016-07-25,26.142857142857142
2016-07-26,26.285714285714285
2016-07-27,26.428571428571427
2016-07-28,26.571428571428573
2016-07-29,26.714285714285715
2016-07-30,26.857142857142858
2016-07-31,27.0
2016-08-01,26.571428571428573
2016-08-02,26.142857142857142
2016-08-03,25.714285714285715
2016-08-04,25.285714285714285
2016-08-05,24.857142857142858
2016-08-06,24.42857142857143
2016-08-07,24.0
2016-08-08,24.142857142857142
2016-08-09,24.285714285714285
2016-08-10,24.428571428571427
2016-08-11,24.571428571428573
2016-08-12,24.714285714285715
2016-08-13,24.857142857142858
2016-08-14,25.0
2016-08-15,25.285714285714285
