date,google assistant
2016-12-03,15.142857142857142
2016-12-04,15.0
2016-12-05,14.857142857142858
2016-12-06,14.714285714285714
2016-12-07,14.571428571428571
2016-12-08,14.428571428571429
2016-12-09,14.285714285714286
2016-12-10,14.142857142857142
2016-12-11,14.0
2016-12-12,14.0
2016-12-13,14.0
2016-12-14,14.0
2016-12-15,14.0
2016-12-16,14.0
2016-12-17,14.0
2016-12-18,14.0
2016-12-19,14.142857142857142
2016-12-20,14.285714285714286
2016-12-21,14.428571428571429
2016-12-22,14.571428571428571
2016-12-23,14.714285714285714
2016-12-24,14.857142857142858
2016-12-25,15.0
2016-12-26,15.285714285714286
2016-12-27,15.571428571428571
2016-12-28,15.857142857142858
2016-12-29,16.142857142857142
2016-12-30,16.428571428571427
2016-12-31,16.714285714285715
2017-01-01,17.0
2017-01-02,16.714285714285715
2017-01-03,16.428571428571427
2017-01-04,16.142857142857142
2017-01-05,15.857142857142858
2017-01-06,15.571428571428571
2017-01-07,15.285714285714286
2017-01-08,15.0
2017-01-09,14.857142857142858
2017-01-10,14.714285714285714
2017-01-11,14.571428571428571
2017-01-12,14.428571428571429
2017-01-13,14.285714285714286
2017-01-14,14.142857142857142
2017-01-15,14.0
2017-01-16,13.857142857142858
2017-01-17,13.714285714285714
2017-01-18,13.571428571428571
2017-01-19,13.428571428571429
2017-01-20,13.285714285714286
2017-01-21,13.142857142857142
2017-01-22,13.0
2017-01-23,13.0
2017-01-24,13.0
2017-01-25,13.0
2017-01-26,13.0
2017-01-27,13.0
2017-01-28,13.0
2017-01-29,13.0
2017-01-30,13.0
2017-01-31,13.0
2017-02-01,13.0
2017-02-02,13.0
2017-02-03,13.0
2017-02-04,13.0
2017-02-05,13.0
2017-02-06,13.285714285714286
2017-02-07,13.571428571428571
2017-02-08,13.857142857142858
2017-02-09,14.142857142857142
2017-02-10,14.428571428571429
2017-02-11,14.714285714285714
2017-02-12,15.0
2017-02-13,14.571428571428571
2017-02-14,14.142857142857142
2017-02-15,13.714285714285715
2017-02-16,13.285714285714286
2017-02-17,12.857142857142858
2017-02-18,12.428571428571429
2017-02-19,12.0
2017-02-20,17.857142857142858
2017-02-21,23.714285714285715
2017-02-22,29.57142857142857
2017-02-23,35.42857142857143
2017-02-24,41.285714285714285
2017-02-25,47.14285714285714
2017-02-26,53.0
2017-02-27,53.285714285714285
2017-02-28,53.57142857142857
2017-03-01,53.857142857142854
2017-03-02,54.142857142857146
2017-03-03,54.42857142857143
2017-03-04,54.714285714285715
2017-03-05,55.0
2017-03-06,52.142857142857146
2017-03-07,49.285714285714285
2017-03-08,46.42857142857143
2017-03-09,43.57142857142857
2017-03-10,40.714285714285715
2017-03-11,37.85714285714286
2017-03-12,35.0
2017-03-13,34.57142857142857
2017-03-14,34.142857142857146
2017-03-15,33.714285714285715
2017-03-16,33.285714285714285
2017-03-17,32.857142857142854
2017-03-18,32.42857142857143
2017-03-19,32.0
2017-03-20,31.428571428571427
2017-03-21,30.857142857142858
2017-03-22,30.285714285714285
2017-03-23,29.714285714285715
2017-03-24,29.142857142857142
2017-03-25,28.571428571428573
2017-03-26,28.0
2017-03-27,27.285714285714285
2017-03-28,26.571428571428573
2017-03-29,25.857142857142858
2017-03-30,25.142857142857142
2017-03-31,24.428571428571427
2017-04-01,23.714285714285715
2017-04-02,23.0
2017-04-03,23.0
2017-04-04,23.0
2017-04-05,23.0
2017-04-06,23.0
2017-04-07,23.0
2017-04-08,23.0
2017-04-09,23.0
2017-04-10,22.571428571428573
2017-04-11,22.142857142857142
2017-04-12,21.714285714285715
2017-04-13,21.285714285714285
2017-04-14,20.857142857142858
2017-04-15,20.42857142857143
2017-04-16,20.0
2017-04-17,19.857142857142858
2017-04-18,19.714285714285715
