date,enterprise software
2016-07-19,57.714285714285715
2016-07-20,58.57142857142857
2016-07-21,59.42857142857143
2016-07-22,60.285714285714285
2016-07-23,61.14285714285714
2016-07-24,62.0
2016-07-25,61.42857142857143
2016-07-26,60.857142857142854
2016-07-27,60.285714285714285
2016-07-28,59.714285714285715
2016-07-29,59.142857142857146
2016-07-30,58.57142857142857
2016-07-31,58.0
2016-08-01,57.857142857142854
2016-08-02,57.714285714285715
2016-08-03,57.57142857142857
2016-08-04,57.42857142857143
2016-08-05,57.285714285714285
2016-08-06,57.142857142857146
2016-08-07,57.0
2016-08-08,56.714285714285715
2016-08-09,56.42857142857143
2016-08-10,56.142857142857146
2016-08-11,55.857142857142854
2016-08-12,55.57142857142857
2016-08-13,55.285714285714285
2016-08-14,55.0
2016-08-15,56.57142857142857
