date,self-driving car
2017-01-23,15.714285714285714
2017-01-24,15.428571428571429
2017-01-25,15.142857142857142
2017-01-26,14.857142857142858
2017-01-27,14.571428571428571
2017-01-28,14.285714285714286
2017-01-29,14.0
2017-01-30,14.428571428571429
2017-01-31,14.857142857142858
2017-02-01,15.285714285714285
2017-02-02,15.714285714285714
2017-02-03,16.142857142857142
2017-02-04,16.57142857142857
2017-02-05,17.0
2017-02-06,16.714285714285715
2017-02-07,16.428571428571427
2017-02-08,16.142857142857142
2017-02-09,15.857142857142858
2017-02-10,15.571428571428571
2017-02-11,15.285714285714286
2017-02-12,15.0
2017-02-13,15.857142857142858
2017-02-14,16.714285714285715
2017-02-15,17.57142857142857
2017-02-16,18.428571428571427
2017-02-17,19.285714285714285
2017-02-18,20.142857142857142
2017-02-19,21.0
2017-02-20,20.857142857142858
2017-02-21,20.714285714285715
2017-02-22,20.571428571428573
2017-02-23,20.428571428571427
2017-02-24,20.285714285714285
2017-02-25,20.142857142857142
2017-02-26,20.0
2017-02-27,20.285714285714285
2017-02-28,20.571428571428573
2017-03-01,20.857142857142858
2017-03-02,21.142857142857142
2017-03-03,21.428571428571427
2017-03-04,21.714285714285715
2017-03-05,22.0
2017-03-06,21.714285714285715
2017-03-07,21.428571428571427
2017-03-08,21.142857142857142
2017-03-09,20.857142857142858
2017-03-10,20.571428571428573
2017-03-11,20.285714285714285
2017-03-12,20.0
2017-03-13,19.428571428571427
2017-03-14,18.857142857142858
2017-03-15,18.285714285714285
2017-03-16,17.714285714285715
2017-03-17,17.142857142857142
2017-03-18,16.571428571428573
2017-03-19,16.0
2017-03-20,18.142857142857142
2017-03-21,20.285714285714285
2017-03-22,22.42857142857143
2017-03-23,24.57142857142857
2017-03-24,26.714285714285715
2017-03-25,28.857142857142858
2017-03-26,31.0
2017-03-27,29.714285714285715
2017-03-28,28.428571428571427
2017-03-29,27.142857142857142
2017-03-30,25.857142857142858
2017-03-31,24.57142857142857
2017-04-01,23.285714285714285
2017-04-02,22.0
2017-04-03,21.142857142857142
2017-04-04,20.285714285714285
