date,android
2016-07-25,90.57142857142857
2016-07-26,90.14285714285714
2016-07-27,89.71428571428571
2016-07-28,89.28571428571429
2016-07-29,88.85714285714286
2016-07-30,88.42857142857143
2016-07-31,88.0
2016-08-01,87.42857142857143
2016-08-02,86.85714285714286
2016-08-03,86.28571428571429
2016-08-04,85.71428571428571
2016-08-05,85.14285714285714
2016-08-06,84.57142857142857
2016-08-07,84.0
2016-08-08,83.14285714285714
2016-08-09,82.28571428571429
2016-08-10,81.42857142857143
2016-08-11,80.57142857142857
2016-08-12,79.71428571428571
2016-08-13,78.85714285714286
2016-08-14,78.0
2016-08-15,78.71428571428571
2016-08-16,79.42857142857143
2016-08-17,80.14285714285714
2016-08-18,80.85714285714286
2016-08-19,81.57142857142857
2016-08-20,82.28571428571429
