date,virtual reality
2016-07-21,24.857142857142858
2016-07-22,24.571428571428573
2016-07-23,24.285714285714285
2016-07-24,24.0
2016-07-25,24.142857142857142
2016-07-26,24.285714285714285
2016-07-27,24.428571428571427
2016-07-28,24.571428571428573
2016-07-29,24.714285714285715
2016-07-30,24.857142857142858
2016-07-31,25.0
2016-08-01,24.714285714285715
2016-08-02,24.428571428571427
2016-08-03,24.142857142857142
2016-08-04,23.857142857142858
2016-08-05,23.571428571428573
2016-08-06,23.285714285714285
2016-08-07,23.0
2016-08-08,23.0
2016-08-09,23.0
2016-08-10,23.0
2016-08-11,23.0
2016-08-12,23.0
2016-08-13,23.0
2016-08-14,23.0
2016-08-15,22.857142857142858
2016-08-16,22.714285714285715
2016-08-17,22.571428571428573
2016-08-18,22.428571428571427
2016-08-19,22.285714285714285
2016-08-20,22.142857142857142
2016-08-21,22.0
2016-08-22,22.142857142857142
2016-08-23,22.285714285714285
2016-08-24,22.428571428571427
2016-08-25,22.571428571428573
2016-08-26,22.714285714285715
2016-08-27,22.857142857142858
2016-08-28,23.0
2016-08-29,23.285714285714285
2016-08-30,23.571428571428573
2016-08-31,23.857142857142858
2016-09-01,24.142857142857142
2016-09-02,24.428571428571427
2016-09-03,24.714285714285715
2016-09-04,25.0
2016-09-05,25.0
2016-09-06,25.0
2016-09-07,25.0
2016-09-08,25.0
2016-09-09,25.0
2016-09-10,25.0
2016-09-11,25.0
2016-09-12,25.142857142857142
2016-09-13,25.285714285714285
2016-09-14,25.428571428571427
2016-09-15,25.571428571428573
2016-09-16,25.714285714285715
2016-09-17,25.857142857142858
2016-09-18,26.0
2016-09-19,25.857142857142858
2016-09-20,25.714285714285715
2016-09-21,25.571428571428573
2016-09-22,25.428571428571427
2016-09-23,25.285714285714285
2016-09-24,25.142857142857142
2016-09-25,25.0
2016-09-26,25.714285714285715
2016-09-27,26.428571428571427
2016-09-28,27.142857142857142
2016-09-29,27.857142857142858
2016-09-30,28.571428571428573
2016-10-01,29.285714285714285
2016-10-02,30.0
2016-10-03,30.142857142857142
2016-10-04,30.285714285714285
2016-10-05,30.428571428571427
2016-10-06,30.571428571428573
2016-10-07,30.714285714285715
2016-10-08,30.857142857142858
2016-10-09,31.0
2016-10-10,31.285714285714285
2016-10-11,31.571428571428573
2016-10-12,31.857142857142858
2016-10-13,32.142857142857146
2016-10-14,32.42857142857143
2016-10-15,32.714285714285715
2016-10-16,33.0
2016-10-17,33.857142857142854
2016-10-18,34.714285714285715
2016-10-19,35.57142857142857
2016-10-20,36.42857142857143
2016-10-21,37.285714285714285
2016-10-22,38.14285714285714
2016-10-23,39.0
2016-10-24,38.42857142857143
2016-10-25,37.857142857142854
2016-10-26,37.285714285714285
2016-10-27,36.714285714285715
2016-10-28,36.142857142857146
2016-10-29,35.57142857142857
2016-10-30,35.0
2016-10-31,35.285714285714285
2016-11-01,35.57142857142857
2016-11-02,35.857142857142854
2016-11-03,36.142857142857146
2016-11-04,36.42857142857143
2016-11-05,36.714285714285715
2016-11-06,37.0
2016-11-07,38.142857142857146
2016-11-08,39.285714285714285
2016-11-09,40.42857142857143
2016-11-10,41.57142857142857
2016-11-11,42.714285714285715
2016-11-12,43.857142857142854
2016-11-13,45.0
2016-11-14,48.57142857142857
2016-11-15,52.142857142857146
2016-11-16,55.714285714285715
2016-11-17,59.285714285714285
2016-11-18,62.85714285714286
2016-11-19,66.42857142857143
2016-11-20,70.0
2016-11-21,69.28571428571429
2016-11-22,68.57142857142857
2016-11-23,67.85714285714286
2016-11-24,67.14285714285714
2016-11-25,66.42857142857143
2016-11-26,65.71428571428571
2016-11-27,65.0
2016-11-28,64.71428571428571
2016-11-29,64.42857142857143
2016-11-30,64.14285714285714
2016-12-01,63.857142857142854
2016-12-02,63.57142857142857
2016-12-03,63.285714285714285
2016-12-04,63.0
2016-12-05,63.42857142857143
2016-12-06,63.857142857142854
2016-12-07,64.28571428571429
2016-12-08,64.71428571428571
2016-12-09,65.14285714285714
2016-12-10,65.57142857142857
2016-12-11,66.0
2016-12-12,66.71428571428571
2016-12-13,67.42857142857143
2016-12-14,68.14285714285714
2016-12-15,68.85714285714286
2016-12-16,69.57142857142857
2016-12-17,70.28571428571429
2016-12-18,71.0
2016-12-19,75.14285714285714
2016-12-20,79.28571428571429
2016-12-21,83.42857142857143
2016-12-22,87.57142857142857
2016-12-23,91.71428571428572
2016-12-24,95.85714285714286
2016-12-25,100.0
2016-12-26,91.85714285714286
2016-12-27,83.71428571428572
2016-12-28,75.57142857142857
2016-12-29,67.42857142857143
2016-12-30,59.28571428571429
2016-12-31,51.142857142857146
2017-01-01,43.0
2017-01-02,41.42857142857143
2017-01-03,39.857142857142854
2017-01-04,38.285714285714285
2017-01-05,36.714285714285715
2017-01-06,35.142857142857146
2017-01-07,33.57142857142857
2017-01-08,32.0
2017-01-09,31.428571428571427
2017-01-10,30.857142857142858
2017-01-11,30.285714285714285
2017-01-12,29.714285714285715
2017-01-13,29.142857142857142
2017-01-14,28.571428571428573
2017-01-15,28.0
2017-01-16,28.0
2017-01-17,28.0
2017-01-18,28.0
2017-01-19,28.0
2017-01-20,28.0
2017-01-21,28.0
2017-01-22,28.0
2017-01-23,27.857142857142858
2017-01-24,27.714285714285715
2017-01-25,27.571428571428573
2017-01-26,27.428571428571427
2017-01-27,27.285714285714285
2017-01-28,27.142857142857142
2017-01-29,27.0
2017-01-30,27.142857142857142
2017-01-31,27.285714285714285
2017-02-01,27.428571428571427
2017-02-02,27.571428571428573
2017-02-03,27.714285714285715
2017-02-04,27.857142857142858
2017-02-05,28.0
2017-02-06,27.714285714285715
2017-02-07,27.428571428571427
2017-02-08,27.142857142857142
2017-02-09,26.857142857142858
2017-02-10,26.571428571428573
2017-02-11,26.285714285714285
2017-02-12,26.0
2017-02-13,25.714285714285715
2017-02-14,25.428571428571427
2017-02-15,25.142857142857142
2017-02-16,24.857142857142858
2017-02-17,24.571428571428573
2017-02-18,24.285714285714285
2017-02-19,24.0
2017-02-20,24.428571428571427
2017-02-21,24.857142857142858
2017-02-22,25.285714285714285
2017-02-23,25.714285714285715
2017-02-24,26.142857142857142
2017-02-25,26.57142857142857
2017-02-26,27.0
2017-02-27,26.571428571428573
2017-02-28,26.142857142857142
2017-03-01,25.714285714285715
2017-03-02,25.285714285714285
2017-03-03,24.857142857142858
2017-03-04,24.42857142857143
2017-03-05,24.0
2017-03-06,23.857142857142858
2017-03-07,23.714285714285715
2017-03-08,23.571428571428573
2017-03-09,23.428571428571427
2017-03-10,23.285714285714285
2017-03-11,23.142857142857142
2017-03-12,23.0
2017-03-13,23.0
2017-03-14,23.0
2017-03-15,23.0
2017-03-16,23.0
2017-03-17,23.0
2017-03-18,23.0
2017-03-19,23.0
2017-03-20,23.0
2017-03-21,23.0
2017-03-22,23.0
2017-03-23,23.0
2017-03-24,23.0
2017-03-25,23.0
2017-03-26,23.0
2017-03-27,22.857142857142858
2017-03-28,22.714285714285715
2017-03-29,22.571428571428573
2017-03-30,22.428571428571427
2017-03-31,22.285714285714285
2017-04-01,22.142857142857142
2017-04-02,22.0
2017-04-03,22.142857142857142
2017-04-04,22.285714285714285
2017-04-05,22.428571428571427
2017-04-06,22.571428571428573
2017-04-07,22.714285714285715
2017-04-08,22.857142857142858
2017-04-09,23.0
2017-04-10,23.142857142857142
2017-04-11,23.285714285714285
2017-04-12,23.428571428571427
2017-04-13,23.571428571428573
2017-04-14,23.714285714285715
2017-04-15,23.857142857142858
2017-04-16,24.0
2017-04-17,24.0
2017-04-18,24.0
2017-04-19,24.0
2017-04-20,24.0
2017-04-21,24.0
2017-04-22,24.0
2017-04-23,24.0
2017-04-24,23.857142857142858
2017-04-25,23.714285714285715
2017-04-26,23.571428571428573
2017-04-27,23.428571428571427
2017-04-28,23.285714285714285
2017-04-29,23.142857142857142
2017-04-30,23.0
2017-05-01,22.857142857142858
2017-05-02,22.714285714285715
2017-05-03,22.571428571428573
2017-05-04,22.428571428571427
2017-05-05,22.285714285714285
2017-05-06,22.142857142857142
2017-05-07,22.0
2017-05-08,21.857142857142858
2017-05-09,21.714285714285715
2017-05-10,21.571428571428573
2017-05-11,21.428571428571427
2017-05-12,21.285714285714285
2017-05-13,21.142857142857142
2017-05-14,21.0
2017-05-15,20.857142857142858
2017-05-16,20.714285714285715
